Title,Video ID,Duration,Views,Published At,duration_readable,duration_min,duration_minutes,months_since_release,views_por_mes
Integral tripla | coordenadas esféricas | Exemplo 01 | Região situada entre cone e esfera,86i1dQbLqwE,PT13M5S,1520,2021-03-02 21:09:25+00:00,13:05,13.083333333333334,0,55,28
Definição de integral tripla,t-Q8QQE0QxU,PT17M51S,1046,2021-03-02 21:05:53+00:00,17:51,17.85,0,55,19
Integral tripla | coordenadas esféricas,2iDBXtBrGxA,PT11M24S,737,2021-03-02 21:00:43+00:00,11:24,11.4,0,55,13
Integral tripla | coordenadas cilíndricas | Exemplo 1,A3xvteV_ByA,PT10M34S,591,2021-03-02 20:55:03+00:00,10:34,10.566666666666666,0,55,11
Integral tripla | coordenadas cilíndricas,KOD3tw1ovo4,PT13M34S,599,2021-03-02 20:52:31+00:00,13:34,13.566666666666666,0,55,11
Exercícios resolvidos | Área de superfície | Lista 5,3Pl8WhvGpAA,PT1H20M7S,1895,2021-03-01 21:33:05+00:00,80:07,80.11666666666666,0,55,34
integral dupla centro de massa e momento de inércia - exercícios resolvidos,wlWaBwbOFO4,PT1H12M24S,1252,2021-03-01 18:33:15+00:00,72:24,72.4,0,55,23
Integral dupla | Teorema de mudança de variáveis | parte II,RDDZr6aWerA,PT16M37S,466,2021-02-25 16:47:35+00:00,16:37,16.616666666666667,0,56,8
Integral dupla | Teorema de mudança de variáveis | parte I,Fjo6Se4joxM,PT19M54S,897,2021-02-25 16:26:56+00:00,19:54,19.9,0,56,16
Integral dupla | Volume entre elipsoide e cilindro elíptico,fsY_RtklaIs,PT19M13S,1726,2021-02-25 14:33:01+00:00,19:13,19.216666666666665,0,56,31
"Integral dupla | Volume compreendido entre paraboloide, cilindro elíptico e plano",f8PiOi-xev0,PT18M11S,2239,2021-02-25 11:55:20+00:00,18:11,18.183333333333334,0,56,40
Centro de massa | 1/4 de elipse | Integral dupla,NAJXuQRY-tg,PT15M12S,1140,2021-02-15 18:57:16+00:00,15:12,15.2,0,56,20
Integral dupla | Área da esfera,XL72Nharcbc,PT13M37S,2884,2021-02-15 18:53:57+00:00,13:37,13.616666666666667,0,56,52
Área de superfície que são gráfico de funções,JdHs8i3LHyg,PT3M17S,680,2021-02-15 16:25:05+00:00,3:17,3.283333333333333,0,56,12
Área interior à intersecção | Paraboloide Hiperbólico v.s. Cilindro,Vn6i2nWhGvw,PT4M56S,853,2021-02-15 15:07:59+00:00,4:56,4.933333333333334,0,56,15
Área de um paraboloide limitado por planos,oyc-JtqyTN4,PT9M22S,2183,2021-02-15 14:16:18+00:00,9:22,9.366666666666667,0,56,39
Momento de inercia do círculo homogêneo,VlK7JXQqQv8,PT5M51S,2376,2021-02-15 12:28:40+00:00,5:51,5.85,0,56,42
Aplicação integral dupla no momento de inércia,12DMjuLV3sk,PT9M31S,2208,2021-02-15 12:10:22+00:00,9:31,9.516666666666667,0,56,39
Integral dupla aplicações | Introdução,i1ASHSnAmuA,PT25S,2042,2021-02-15 11:31:38+00:00,0:25,0.4166666666666667,0,56,36
Integral dupla aplicações | Momento estático | Centro de massa,VAvBn1vqHoU,PT7M52S,1930,2021-02-15 11:13:01+00:00,7:52,7.866666666666666,0,56,34
Integral dupla aplicações | Integrais com densidades,NoWdvwLVqNI,PT8M22S,2063,2021-02-15 11:01:20+00:00,8:22,8.366666666666667,0,56,37
"Volume entre cone, cilindro e plano | Coordenadas polares | Lista 3, exercício 5",_R234y1CRMQ,PT10M15S,883,2021-02-15 10:06:40+00:00,10:15,10.25,0,56,16
