Title,Video ID,Duration,Views,Published At,duration_readable,duration_min
Integral Dupla sobre Retângulos| Exemplo 02,MyQEqKCyBNg,PT12M10S,3771,2021-02-01T15:31:24Z,12:10,12.166666666666666
Cálculo 3 | Curso Completo,NajkIpWWDtk,PT54S,10469,2021-02-01T15:25:14Z,0:54,0.9
Redução de dimensionalidade | Análise de Componentes Principais | Interpretação,9-E2D8gTSA8,PT39M19S,1347,2021-01-29T02:27:13Z,39:19,39.31666666666667
PCA - Análise de componente principais | Interpretação,ffSpLrAHjmE,PT24M15S,402,2021-01-29T00:35:52Z,24:15,24.25
Matriz covariância | Machine Learning,uFAILLxdajk,PT36M6S,1922,2021-01-29T00:03:48Z,36:06,36.1
Introdução ao Machine Learning | O que é?,I4hZD3OSw4k,PT1H30M4S,518,2021-01-28T13:18:59Z,90:04,90.06666666666666
Construção matemática do SVM - aula 03,1DiR1ma7ebg,PT24M31S,115,2021-01-21T00:57:30Z,24:31,24.516666666666666
SVM Núcleos - aula 02,EfP4zJpUP54,PT30M42S,132,2021-01-21T00:56:08Z,30:42,30.7
Introdução ao Naive Bayes,PjMaer0Sui8,PT11M30S,463,2021-01-06T14:42:48Z,11:30,11.5
Teorema do Divergente e aplicação a campo elétrico produzido por carga pontual,RjuA9hdN-3Y,PT20M26S,671,2020-12-05T19:59:17Z,20:26,20.433333333333334
Interpretação do divergente,7OMKFeU_dD0,PT15M7S,523,2020-12-05T18:29:01Z,15:07,15.116666666666667
Teorema do Divergente,s0rM42xufng,PT38M35S,729,2020-12-04T22:52:12Z,38:35,38.583333333333336
Teorema do divergente: exemplos,YAgJr4_cu88,PT13M31S,1960,2020-12-03T19:59:17Z,13:31,13.516666666666667
Teorema de Stokes | Exercício Resolvido: hiperboloide,i5ShP5qdp-Y,PT22M4S,2180,2020-12-02T15:24:58Z,22:04,22.066666666666666
Teorema de Stokes | Exercícios resolvidos,c4qxoccjt4Y,PT16M29S,9217,2020-12-01T23:04:02Z,16:29,16.483333333333334
Teorema de Stokes e a interpretação do rotacional,m6ZONz-f48A,PT11M34S,1163,2020-12-01T19:35:17Z,11:34,11.566666666666666
Integral de superfície de campos vetoriais (exemplos),w7PFgaWsaho,PT22M31S,830,2020-11-20T03:20:46Z,22:31,22.516666666666666
Aplicações da integral de superfície escalar,xrKwA8vUtAQ,PT18M37S,755,2020-11-20T01:33:24Z,18:37,18.616666666666667
integral de superfície de campos vetoriais,Kg_RNDBXiYs,PT24M47S,366,2020-11-19T23:22:40Z,24:47,24.783333333333335
integral de superfície escalar (exemplos),vy-fTjjA180,PT25M26S,1007,2020-11-19T01:31:08Z,25:26,25.433333333333334
Integral de superfície escalar,g90BbWg1C0I,PT24M8S,354,2020-11-17T21:56:06Z,24:08,24.133333333333333
Superfícies de revolução,LF2QAYNz3EI,PT19M19S,1081,2020-11-14T16:34:42Z,19:19,19.316666666666666
Superfície tubular,uvgGeBLWgMc,PT31M27S,321,2020-11-14T13:07:53Z,31:27,31.45
Superfícies paramétricas (parte II),orEy8MFG4Vo,PT9M5S,579,2020-11-12T22:06:13Z,9:05,9.083333333333334
Superfícies paramétricas,NSJGewylcl4,PT35M16S,905,2020-11-12T19:52:07Z,35:16,35.266666666666666
Teorema de Green em regiões com buracos: exemplos,vii7PReuE90,PT24M38S,1368,2020-10-28T22:26:55Z,24:38,24.633333333333333
Teorema de Green (versão com buracos ),QdxslorDeUk,PT16M30S,623,2020-10-28T19:30:15Z,16:30,16.5
Teorema de Green,7OFFXUa5brs,PT32M36S,307,2020-10-28T02:30:40Z,32:36,32.6
Campos conservativos: independência de caminho e rotacional,zf7Q2jFB_W0,PT33M44S,350,2020-10-23T18:20:22Z,33:44,33.733333333333334
Teorema fundamental das integrais de linha,DLtrDwM7pP4,PT30M9S,484,2020-10-22T16:00:55Z,30:09,30.15
Integrais de linha (relativa ao comprimento de arco),9w5cvVPJ_2k,PT21M58S,688,2020-10-20T09:57:43Z,21:58,21.966666666666665
Movimentos no espaço: velocidade e aceleração,W-SAI3p7sTU,PT12M34S,299,2020-10-16T12:14:20Z,12:34,12.566666666666666
Componentes da aceleração,_JAIwxRldzU,PT17M53S,452,2020-10-14T21:13:27Z,17:53,17.883333333333333
Movimento de projétil com resistência do ar,ISXU0gy7B2g,PT35M42S,2226,2020-10-14T13:26:10Z,35:42,35.7
"Resumo - curvatura, vetor tangente, normal e binormal",oivTOmX0J1Y,PT3M28S,1818,2020-10-13T18:28:32Z,3:28,3.466666666666667
Vetor normal e binormal,hrExZA53k3E,PT13M31S,533,2020-10-13T18:26:46Z,13:31,13.516666666666667
Curvatura,-GnHeao4ONo,PT14M51S,331,2020-10-09T13:46:59Z,14:51,14.85
Função comprimento de arco,E00LrE_I29w,PT14M,332,2020-10-08T17:18:48Z,14:00,14.0
Comprimento de arco,BXzE3mJa3b8,PT9M52S,348,2020-10-07T12:06:48Z,9:52,9.866666666666667
